Name,Ticker,Price,Market Cap,Country,Shares Outstanding,5 Day Change,1 Month Change,3 Month Change,YTD Change
"AXMIN, Inc.",AXMIF,0.14,19118680,CA,136562000,-0.070248,0.101142,-0.505132,-0.516129
Agnico Eagle Mines Ltd.,AEM,60.62,14600205760,CA,240848000,0.081181,0.524439,0.007582,0.005262
Alacer Gold Corp.,ALIAF,5.31,1565318970,US,294787000,0.052698,0.550769,0.102845,-0.036513
"Alamos Gold, Inc.",AGI,8.25,3227829000,CA,391252000,0.115962,0.616601,0.270186,0.379427
Alexco Resource Corp.,AXU,1.71,213163470,CA,124657000,0.052288,0.308943,-0.063953,-0.29386
American Creek Resources Ltd.,ACKRF,0.06,20560020,CA,342667000,0.195652,0.309524,-0.033392,-0.266667
AngloGold Ashanti Ltd.,AU,26.05,10845683050,ZA,416341000,0.016302,0.424749,0.278639,0.126487
"Argonaut Gold, Inc.",ARNGF,1.08,194956200,US,180515000,0.04902,0.417219,-0.137097,-0.2967
"Asanko Gold, Inc.",AKG,1.18,264740080,CA,224356000,-0.066667,0.353965,0.199786,0.219114
ATAC Resources Ltd.,ATADF,0.14,22125040,CA,158036000,0.003788,0.153177,-0.161392,-0.229203
Atlassian Corp. Plc,TEAM,152.73,18813586860,GB,123182000,-0.003954,0.052777,-0.003621,0.209391
Aurcana Corp.,AUNFF,0.29,35434230,CA,122187000,0.244635,0.656196,0.596916,0.247312
"Auryn Resources, Inc.",AUG,1.08,113056560,CA,104682000,-0.027027,0.165049,-0.181818,-0.242105
B2Gold Corp.,BTG,5.33,5519481500,CA,1035550000,0.055888,0.706452,0.2331,0.346056
Barrick Gold Corp.,GOLD,26.55,47206962000,CA,1778040000,0.018127,0.397615,0.46761,0.458085
Batero Gold Corp.,BELDF,0.06,6910920,CA,115182000,0.106,0.228889,-0.149231,0.135524
Bear Creek Mining Corp.,BCEKF,1.39,154656960,CA,111264000,-0.012685,0.591685,-0.201691,-0.353151
Belo Sun Mining Corp.,VNNHF,0.68,305984360,CA,449977000,0.754847,1.600364,0.77005,0.774442
"BonTerra Resources, Inc.",BONXF,1.05,417373950,CA,397499000,0.309086,0.853198,-0.211552,-0.367275
Bravada Gold Corp.,BGAVF,0.07,4795070,CA,68501000,0.127925,0.446,-0.062257,-0.205495
Calibre Mining Corp.,CXBMF,0.82,268977220,CA,328021000,0.142212,0.801655,0.074866,0.104085
"Canasil Resources, Inc.",CNSUF,0.05,5422850,CA,108457000,-0.115909,-0.152505,-0.271536,0.002577
"Centerra Gold, Inc.",CAGDF,8.33,2447478950,CA,293815000,0.059432,0.31221,0.088977,0.031667
